Detected 36 'O' candidates
Index, X, Y, Width, Height, Circularity, AspectRatio
1, 1823, 847, 44, 44, 0.8951, 1.0000
2, 1682, 847, 43, 45, 0.8869, 0.9556
3, 799, 748, 43, 44, 0.8629, 0.9773
4, 379, 748, 43, 44, 0.8624, 0.9773
5, 971, 646, 43, 44, 0.8576, 0.9773
6, 1397, 644, 43, 45, 0.8443, 0.9556
7, 1860, 643, 44, 45, 0.8940, 0.9778
8, 409, 545, 43, 43, 0.8515, 1.0000
9, 645, 544, 44, 44, 0.8842, 1.0000
10, 1006, 543, 44, 44, 0.8537, 1.0000
11, 1346, 542, 44, 44, 0.8569, 1.0000
12, 189, 444, 43, 44, 0.8881, 0.9773
13, 66, 444, 41, 45, 0.8894, 0.9111
14, 1055, 441, 44, 45, 0.8877, 0.9778
15, 1465, 440, 44, 44, 0.8952, 1.0000
16, 1866, 438, 44, 46, 0.8942, 0.9565
17, 139, 343, 42, 45, 0.8860, 0.9333
18, 890, 340, 44, 44, 0.8558, 1.0000
19, 567, 239, 44, 45, 0.8937, 0.9778
20, 821, 238, 43, 44, 0.8654, 0.9773
21, 679, 238, 44, 45, 0.8841, 0.9778
22, 1499, 235, 44, 45, 0.8940, 0.9778
23, 1655, 234, 44, 46, 0.8931, 0.9565
24, 1955, 233, 45, 47, 0.8907, 0.9574
25, 112, 141, 42, 45, 0.8920, 0.9333
26, 724, 136, 44, 45, 0.8916, 0.9778
27, 1415, 133, 44, 45, 0.8968, 0.9778
28, 1863, 131, 45, 47, 0.8857, 0.9574
29, 107, 40, 43, 46, 0.8786, 0.9348
30, 371, 36, 44, 46, 0.8851, 0.9565
31, 804, 35, 44, 45, 0.8887, 0.9778
32, 556, 35, 44, 46, 0.8891, 0.9565
33, 1077, 33, 44, 45, 0.8950, 0.9778
34, 1926, 29, 45, 47, 0.8933, 0.9574
35, 1805, 29, 45, 47, 0.8940, 0.9574
36, 984, 846, 62, 51, 0.7777, 1.2157
